sala,sexo,tempo,frontal,vertical,lateral,antena,rssi,fase,frequencia,atividade
0,0,0.253535702,0.735132768,0.208891160,0.477276170,0.666666667,0.611940299,0.127013522,0.545454545,3
0,1,0.298522479,0.535132768,0.093335501,0.931834489,0.666666667,0.298507463,0.925256753,0.545454545,3
0,0,0.015580085,0.508108980,0.564448521,0.577278163,0.000000000,0.268656716,0.869318741,1.000000000,1
0,0,0.100523169,0.767568689,0.204446741,0.504549550,0.666666667,0.597014925,0.606252446,0.818181818,3
0,0,0.205547890,0.940531071,0.173333488,0.509095113,0.000000000,0.283582090,0.867121347,0.363636364,3
0,1,0.048579970,0.237834225,0.595562935,0.463641075,0.333333333,0.492537313,0.195164586,0.181818182,2
0,0,0.101172818,0.864881062,0.200002322,0.500003986,0.666666667,0.567164179,0.768429688,0.818181818,3
0,1,0.154766011,0.827033008,0.191113485,0.472729809,0.666666667,0.373134328,0.921578506,0.090909091,3
0,1,0.000862366,0.572971602,0.555562006,0.550005581,1.000000000,0.432835821,0.128968884,0.363636364,1
0,0,0.107220881,0.821639314,0.235558058,0.477276170,0.000000000,0.492537313,0.927199377,0.636363636,3
1,1,0.230872715,0.513511894,0.333337204,0.127266204,0.666666667,0.373134328,0.850752353,0.545454545,3
0,1,0.283074623,0.805412134,0.244447283,0.454548354,1.000000000,0.238805970,0.112846699,0.636363636,3
1,1,0.836667816,0.378379126,0.355557362,0.118177470,0.666666667,0.328358209,0.358329063,0.909090909,1
0,1,0.130964700,0.545943205,0.564448521,0.527277366,0.000000000,0.343283582,0.306785840,0.909090909,1
0,1,0.128780039,0.405402914,0.173333488,0.927290122,1.000000000,0.507462687,0.039569973,1.000000000,3
0,1,0.206709210,0.481080583,0.577782164,0.531823328,0.000000000,0.417910448,0.734242694,0.545454545,1
1,1,0.159825227,0.378379126,0.293336275,0.095431715,0.666666667,0.343283582,0.899365717,0.545454545,3
0,1,0.212659538,0.886501936,0.257782474,0.527277366,0.000000000,0.462686567,0.247679122,0.454545455,3
0,1,0.139387145,0.805412134,0.262225731,0.459092721,0.666666667,0.492537313,0.790658400,0.454545455,3
0,0,0.146171093,0.724322331,0.186668679,0.509095113,1.000000000,0.223880597,0.111625393,0.454545455,3
0,1,0.167184086,0.924303891,0.182224261,0.509095113,0.666666667,0.567164179,0.825832629,0.363636364,3
0,1,0.046021617,0.481080583,0.586672550,0.495458423,1.000000000,0.477611940,0.177824280,0.000000000,1
1,1,0.257128895,0.659459709,0.177779842,0.154540381,0.666666667,0.402985075,0.953584029,0.454545455,3
0,0,0.195096010,0.870274756,0.186668679,0.495458423,0.000000000,0.283582090,0.924763135,0.272727273,3
0,1,0.082470967,0.935137378,0.195557904,0.522731803,1.000000000,0.313432836,0.810196100,0.545454545,3
1,1,0.447855582,0.545943205,0.275559374,0.131810572,0.666666667,0.283582090,0.026135615,0.545454545,3
0,0,0.035069564,0.491891020,0.577782164,0.586370884,0.000000000,0.388059701,0.850258735,0.727272727,1
